#Produtos,Leite (L),Tempo (H),Margem (R$)
Leite tipo C,4800,20,576
Queijo muçarela,300,9,84
Queijo fresco,100,8,60
Queijo cremoso,12,5,14
Iogurte,30,4,22
Leite tipo A,2000,10,300
Leite tipo B,3000,15,400
Requeijão,50,12,30
Manteiga,25,7,17
Ricota,8,6,15
Produto_11,7,4,23
Produto_12,5,12,17
Produto_13,13,4,9
Produto_14,24,5,8
Produto_15,7,1,37
Produto_16,21,3,24
Produto_17,9,13,37
Produto_18,13,12,14
Produto_19,19,2,22
Produto_20,18,14,2
Produto_21,20,3,45
Produto_22,16,3,44
Produto_23,21,14,35
Produto_24,12,10,17
Produto_25,8,13,38
Produto_26,21,14,4
Produto_27,7,10,44
Produto_28,6,13,32
Produto_29,16,9,13
Produto_30,7,8,45
Produto_31,20,3,3
Produto_32,20,14,17
Produto_33,5,7,33
Produto_34,13,2,35
Produto_35,5,1,9
Produto_36,14,9,42
Produto_37,17,14,25
Produto_38,11,13,18
Produto_39,20,9,11
Produto_40,14,11,3
