#Produtos,Leite (L),Tempo (H),Margem (R$)
Leite tipo C,4800,20,576
Queijo muçarela,300,9,84
Queijo fresco,100,8,60
Queijo cremoso,12,5,14
Iogurte,30,4,22
Leite tipo A,2000,10,300
Leite tipo B,3000,15,400
Requeijão,50,12,30
Manteiga,25,7,17
Ricota,8,6,15
Produto_11,25,4,16
Produto_12,17,10,15
Produto_13,12,14,12
Produto_14,20,14,19
Produto_15,11,5,19
Produto_16,25,12,22
Produto_17,22,14,29
Produto_18,7,15,24
Produto_19,18,14,7
Produto_20,17,9,14
Produto_21,5,3,39
Produto_22,23,10,22
Produto_23,13,5,15
Produto_24,7,7,34
Produto_25,7,6,32
Produto_26,14,1,29
Produto_27,25,4,4
Produto_28,13,13,10
Produto_29,22,3,33
Produto_30,16,2,11
Produto_31,20,8,37
Produto_32,13,5,41
Produto_33,15,4,5
Produto_34,11,12,9
Produto_35,10,13,11
Produto_36,15,9,15
Produto_37,12,15,26
Produto_38,18,7,9
Produto_39,9,8,11
Produto_40,25,6,1
Produto_41,10,4,23
Produto_42,5,1,9
Produto_43,8,9,16
Produto_44,10,11,1
Produto_45,22,6,45
Produto_46,22,11,28
Produto_47,20,4,28
Produto_48,21,12,14
Produto_49,21,11,4
Produto_50,6,1,44
Produto_51,14,6,21
Produto_52,24,8,12
Produto_53,10,15,36
Produto_54,18,1,5
Produto_55,21,13,28
Produto_56,16,9,30
Produto_57,20,12,33
Produto_58,14,2,40
Produto_59,18,14,44
Produto_60,15,15,23
Produto_61,24,1,32
Produto_62,5,14,39
Produto_63,18,6,44
Produto_64,17,1,37
Produto_65,5,7,10
Produto_66,17,6,24
Produto_67,14,11,2
Produto_68,13,14,44
Produto_69,20,6,18
Produto_70,17,2,21
Produto_71,17,4,42
Produto_72,9,10,15
Produto_73,10,9,27
Produto_74,18,13,23
Produto_75,11,12,12
Produto_76,17,14,26
Produto_77,12,2,40
Produto_78,6,7,2
Produto_79,22,12,42
Produto_80,9,10,29
Produto_81,16,9,18
Produto_82,20,1,12
Produto_83,16,10,21
Produto_84,13,2,19
Produto_85,23,12,3
Produto_86,24,9,23
Produto_87,5,5,15
Produto_88,12,12,23
Produto_89,25,12,18
Produto_90,15,6,16
Produto_91,5,10,22
Produto_92,20,6,20
Produto_93,9,15,19
Produto_94,8,5,24
Produto_95,14,10,31
Produto_96,14,1,25
Produto_97,10,7,24
Produto_98,9,5,21
Produto_99,20,11,2
Produto_100,13,10,20
