#Resource; Grinding_harvest_limit; Field_harvest_capacity; Field_hour_capacity; Harvester_hour_capacity
Mill_01;110000;0;0;0
Mill_02;100000;0;0;0
Field_01;0;40000;120;0
Field_02;0;40000;120;0
Field_03;0;40000;120;0
Field_04;0;40000;120;0
Field_05;0;40000;120;0
Field_06;0;40000;120;0
Field_07;0;40000;120;0
Field_08;0;40000;120;0
Field_09;0;40000;120;0
Field_10;0;40000;120;0
Field_11;0;40000;120;0
Field_12;0;40000;120;0
Field_13;0;40000;120;0
Field_14;0;40000;120;0
Field_15;0;40000;120;0
Field_16;0;40000;120;0
Field_17;0;40000;120;0
Field_18;0;40000;120;0
Field_19;0;40000;120;0
Field_20;0;40000;120;0
Harvester_01;0;0;0;30
Harvester_02;0;0;0;30
Harvester_03;0;0;0;30
Harvester_04;0;0;0;30
Harvester_05;0;0;0;30
Harvester_06;0;0;0;30
Harvester_07;0;0;0;30
Harvester_08;0;0;0;30
Harvester_09;0;0;0;30
Harvester_10;0;0;0;30
Harvester_11;0;0;0;30
Harvester_12;0;0;0;30
Harvester_13;0;0;0;30
Harvester_14;0;0;0;30
Harvester_15;0;0;0;30
