#Item, Peso, Beneficio
Item_01,162,2
Item_02,581,9
Item_03,32,10
Item_04,547,9
Item_05,360,4
Item_06,871,1
Item_07,581,10
Item_08,833,2
Item_09,376,10
Item_10,509,4
Item_11,755,6
Item_12,643,3
Item_13,143,8
Item_14,575,10
Item_15,891,7
Item_16,276,7
Item_17,291,5
Item_18,270,5
Item_19,426,6
Item_20,124,8
Item_21,528,3
Item_22,717,5
Item_23,824,2
Item_24,957,4
Item_25,290,10
Item_26,955,4
Item_27,106,9
Item_28,925,2
Item_29,223,3
Item_30,987,3
Item_31,275,10
Item_32,715,7
Item_33,2,9
Item_34,386,2
Item_35,238,10
Item_36,660,4
Item_37,83,2
Item_38,689,3
Item_39,327,8
Item_40,142,7
Item_41,728,6
Item_42,507,10
Item_43,936,9
Item_44,607,3
Item_45,137,5
Item_46,676,3
Item_47,764,10
Item_48,515,3
Item_49,641,6
Item_50,781,1
Item_51,728,3
Item_52,791,9
Item_53,859,6
Item_54,324,6
Item_55,680,6
Item_56,570,2
Item_57,397,8
Item_58,415,3
Item_59,164,4
Item_60,38,3
Item_61,697,1
Item_62,633,1
Item_63,462,8
Item_64,983,6
Item_65,369,8
Item_66,604,2
Item_67,449,9
Item_68,24,5
Item_69,379,3
Item_70,224,9
Item_71,371,2
Item_72,4,2
Item_73,252,7
Item_74,515,1
Item_75,225,6
Item_76,810,10
Item_77,696,7
Item_78,545,2
Item_79,57,9
Item_80,416,3
Item_81,721,8
Item_82,979,5
Item_83,583,10
Item_84,441,2
Item_85,658,4
Item_86,159,8
Item_87,729,8
Item_88,743,7
Item_89,267,3
Item_90,519,7
Item_91,974,2
Item_92,559,8
Item_93,912,5
Item_94,177,3
Item_95,870,6
Item_96,935,9
Item_97,68,3
Item_98,303,9
Item_99,30,8
Item_100,109,2
